# lr = 0.1
[I 2024-05-14 18:02:41,688] A new study created in memory with name: no-name-8aaf104d-1304-43b8-bcc9-3c0eafe5c1c2
[I 2024-05-14 18:08:03,808] Trial 0 finished with value: 0.8705788600410843 and parameters: {'base_estimator': '64', 'n_estimators': 58, 'sub_sample_size': 0.31403393779479766, 'sub_feature_size': 0.5498912467938597, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 0 with value: 0.8705788600410843.
[I 2024-05-14 18:13:33,069] Trial 1 finished with value: 0.8808448878382782 and parameters: {'base_estimator': '85', 'n_estimators': 69, 'sub_sample_size': 0.6097013219358318, 'sub_feature_size': 0.7010840977356985, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:14:27,370] Trial 2 finished with value: 0.8632096864358951 and parameters: {'base_estimator': '44', 'n_estimators': 10, 'sub_sample_size': 0.6303801461385317, 'sub_feature_size': 0.967248152080384, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:22:04,580] Trial 3 finished with value: 0.8725491581260325 and parameters: {'base_estimator': '34', 'n_estimators': 73, 'sub_sample_size': 0.6061798344020133, 'sub_feature_size': 0.7968219516482462, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:26:20,111] Trial 4 finished with value: 0.8585749795323783 and parameters: {'base_estimator': '55', 'n_estimators': 67, 'sub_sample_size': 0.31284071252603846, 'sub_feature_size': 0.628916019939977, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:29:40,548] Trial 5 finished with value: 0.8711917082422337 and parameters: {'base_estimator': '30', 'n_estimators': 92, 'sub_sample_size': 0.5180923117484815, 'sub_feature_size': 0.6167111702756218, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:31:53,955] Trial 6 finished with value: 0.8773039676556396 and parameters: {'base_estimator': '73', 'n_estimators': 28, 'sub_sample_size': 0.6482849650437377, 'sub_feature_size': 0.6829476766661662, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:32:17,374] Trial 7 finished with value: 0.8731396813447474 and parameters: {'base_estimator': '11', 'n_estimators': 12, 'sub_sample_size': 0.5492095155051749, 'sub_feature_size': 0.8232210260747339, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:33:04,088] Trial 8 finished with value: 0.8583184272152777 and parameters: {'base_estimator': '15', 'n_estimators': 20, 'sub_sample_size': 0.4140136420849307, 'sub_feature_size': 0.6506958646300078, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
[I 2024-05-14 18:36:27,114] Trial 9 finished with value: 0.8634326720747778 and parameters: {'base_estimator': '12', 'n_estimators': 93, 'sub_sample_size': 0.5403162886088442, 'sub_feature_size': 0.6210909565039999, 'bootstrap': True, 'bootstrap_features': False, 'n_jobs': 1}. Best is trial 1 with value: 0.8808448878382782.
# lr = 0.5
